COMPANY, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
北京赛立科信息技术有限公司, Java高级开发工程师, 11-16万, 西安-碑林区, 本科及以上, 4年工作经验, 职责描述： 1. 参与项目的前期调研，根据产品和项目需求，分析、设计、提出架构整体设计方案、数据库存储设计方案； 2. 保障系统架构的合理性、可扩展性及经济性； 3. 编写、评审相关产品系统架构方案，控制产品系统架构质量； 4. 负责核心技术问题的攻关，系统优化；协助解决项目开发过程中的技术难题； 5. 制定开发规范，参与制定技术标准，编写相应的技术文档，并对通用技术进行整理，提高技术复用。   任职要求： 1. 本科以上学历，4-5年以上java软件开发经验 2.良好的编码规范，JAVA/J2EE扎实的代码功底，能使用Spring.Spring mvc.MyBatis等框架，以及apache常用的common包；熟悉Maven，SVN常用的项目管理。 3.熟悉分布式、多线程等高性能架构相关开发技术； 4.有丰富基于MySql或Oracle数据库开发的经验，至少熟悉其中一种数据库优化; 5.熟悉主要应用服务器（Jetty/Resin/Weblogic/Jboss/WebSphere/Tomcat等）的配置和使用； 6.熟悉Linux操作系统，可以熟练使用常用的Linux命令完成日常工作； 7.具有很强的分析问题和解决问题的能力，攻关疑难问题的强烈兴趣，善于学习，吃苦耐劳，懂得分享
北京北信源软件股份有限公司西安分公司, Java高级工程师, 面议, 西安, 本科及以上, 5年工作经验, 职位描述： 1. 计算机相关专业毕业； 2. 熟悉java语言，相关技术过硬，善于钻研新技术，接触新知识； 3. 工作责任心强、性格开朗、善于沟通、工作细心、做事有条理、善于在工作中学习与总结； 4. 对新技术有较强的好奇心，善于钻研新技术，有做过开源框架者优先。 任职要求： 1. Java基本功扎实，并具备3年以上的J2EE开发经验； 2. 熟练使用Struts2、Spring、Hibernate、JBPM框架，了解MVC、JPA、OR-Mapping规范的开发思想； 3. 熟悉dwr、websocket等web前端消息推送技术； 4. 熟悉Socket通讯、TCP、HTTP协议，了解多线程、高并发技术； 5. 熟练使用MySQL数据库.使用过Oracle、MsSql、国产(达梦、人大金仓)数据库，了解NoSql思想，了解数据库中间件思想； 6. 熟悉Java常用的设计模式，使用过Java常用13中技术中的6中以上，了解Hadoop、Redis分布式缓存、消息中间件MQ、分布式文件系统等技术； 7. 良好的沟通能力和团队协作精神。
神州绿盟信息, JAVA资深研发工程师（西安）, 12-18万, 西安-高新区, 本科及以上, 3年工作经验, 职责描述： 1、 负责平台新业务模块开发； 2、 负责系统设计、重构，参与技术方案制定与实施。  职位要求： 1、 3年以上JAVA开发经验，基本功扎实，对JVM运行机制、内存管理等有一定研究，调试排错能力强； 2、 有良好的面向对象设计思想，对多线程有深刻理解，熟悉设计模式，拥有良好的编程习惯； 3、 有分布式系统设计和开发、重构经验； 4、 熟悉缓存技术，在生产环境中使用过至少一种noSql产品； 5、 熟悉Linux下开发； 6、 做事有责任心、有想法，热爱技术，喜欢钻研，有激情； 7、 有较强的逻辑思维能力，善于分析、归纳、快速定位并解决问题，能够独立或带队进行项目开发； 8、 教育程度：大学本科及以上学历，计算机相关专业； 9、 有大数据相关经验者，熟悉hadoop/spark者优先考虑；
未来国际, JAVA高级开发工程师, 面议, 西安, 大专及以上, 4年工作经验, 职位描述:  1、参与产品的设计和开发；  2、按照设计方案，完成产品相关模块的编程开发工作；  3、根据测试用例，独立完成单元测试；  4、负责所开发产品模块的文挡编写和维护；  5、负责产品二次开发的技术支持和项目支持。  任职要求:  1、本科及以上学历，计算机或相关专业毕业，2年以上工作经验；  2、精通Java语言，熟悉基本设计模式。  3、精通HTTP协议和servlet规范，精通SSH设计和开发。  4、熟悉常用应用服务器产品，如Tomcat，熟悉Linux系统。  5、掌握SQL语言，熟悉以下任意一种或多种数据库：SQL server、Oracle、MySQL、及国产数据库。  6、熟悉j2EE技术，精通struts、spring、hibernate等开源框架。  7、有设计，调试接口的相关经验。  8、具有良好的表达能力和人际沟通技巧，具有良好的团队合作精神，工作认真负责，善于学习。  9、有搜索（Lucene/Solr）、缓存（Redis/Memcached）或Hadoop开发经验优先考虑；  10、具有数据库DBA证书、或者数据库优化能力和经验优先考虑。
北京北信源软件股份有限公司西安分公司, Java中级工程师, 10-12万, 西安, 本科及以上, 3年工作经验, 职位描述： 1. 计算机相关专业毕业； 2. 熟悉java语言，相关技术过硬，善于钻研新技术，接触新知识； 3. 工作责任心强、性格开朗、善于沟通、工作细心、做事有条理、善于在工作中学习与总结； 4. 对新技术有较强的好奇心，善于钻研新技术，有做过开源框架者优先。 任职要求： 1. Java基本功扎实，并具备3年以上的J2EE开发经验； 2. 熟练使用Struts2、Spring、Hibernate、JBPM框架，了解MVC、JPA、OR-Mapping规范的开发思想； 3. 熟悉Socket网络通讯技术，对TCP、UDP等协议有一定的了解； 4. 熟练使用MySQL数据库.对Oracle、MsSql数据库一定的了解； 5. 熟悉Java常用的设计模式，熟练使用jdbc、jndi、jni等常用技术，了解消息中间件MQ等技术； 6. 良好的沟通能力和团队协作精神。
上海易谷网络科技股份有限公司, java软件研发工程师, 7-14万, 西安-高新区, 本科及以上, 2年工作经验, 岗位职责： 1、负责研发和维护易谷核心业务模块，如网关应用、软电话应用、多媒体通信应用以及相关产品的开发、设计等。  任职要求： 1、计算机或者相关专业，本科及以上学历； 2、具备扎实的数据结构和计算机系统基础，编码功底扎实； 3、熟悉java基础技术体系； 4、熟悉并具备java消息中间件/java数据访问技术/java网络编程/java应用服务化/分布式集群通信技术/java并行计算技术/高性能、高可用服务端设计&开发/sip/genesys/nice/verint开发等其中之一相关经验者优先； 5、熟练掌握J2EE体系架构并具备jsp/servlet/spring/hibernate框架等相关开发，有系统运维平台/业务应用系统开发等其中之一相关经验者优先； 6、熟练掌握html/js/css相关前端技术，有使用bootstrap/webrtc等其中之一相关开发项目经验者优先； 7、熟悉分布式缓存redis/memcached/消息队列rabbitmq等相关开发项目者优先； 8、要求踏实、有责任心，并有很强的学习能力；逻辑思路清晰，有良好的计划和执行能力；团队精神，性格乐观，能积极面对压力。
曼申云智能锁, Java中级开发工程师, 7-12万, 西安, 统招本科, 3年工作经验, 1.根据需求完成系统模块的设计、开发、测试以及文档编写等工作； 2.参与后端服务架构的设计，保证系统的可靠性、易用性和可扩展性； 3.对系统进行持续优化，维护系统的稳定和安全。  任职要求： 1.本科及以上学历，有扎实的编程功底； 2.精通Java，熟悉Java EE，掌握Servlet/JSP/JSTL编程； 3对Spring、MyBatis、Lucene、Netty等开源框架有一定了解； 4.熟悉网络编程和多线程编程，熟悉HTTP等网络协议； 5.能运用Linux、Tomcat、MySQL等软件进行系统搭建和维护； 6.具备良好的学习沟通能力及团队协作精神，勇于承担责任； 7.具有物联网系统开发等相关经验的优先考虑。
罗克韦尔自动化, IT JAVA软件编程项目工程师(MES生产执行系统)MES Project Egr, 面议, 西安-高新区, 本科及以上, 经验不限, Key Responsibilities Responsible for design & development based on RA MES solution. Potential to take customer face leadership role. As-is & To-be blueprint analysis Participate in architecture design based on RA MES Package (AutoSUITE/PharmSUITE/CpgSUITE/EleSUITE) & FTPC based products. Responsible to lead detailed design if customization & integration needed Guide and coach customer on software design specification Help SA/LE lead design and development Hands-on design/development for main framework and lead develop engineers to deliver in time Support SA/LE to control the quality of engineering deliverables  Job related competencies  Bachelor’s degree in MIS/Computer/Engineering related is requested. MES technical background is preferred.  At least1 ~3 year’s technical/consulting experience.  Expertise and knowledge in MES solution preferred  Expertise and knowledge in Auto/Pharm/CPG MFG industry preferred  Expertise and knowledge in architecture design using Java. J2EE preferred  Strong communication and presentation skill.  Have project management exp will be a plus
海银金融控股集团有限公司, java开发工程师, 12-22万, 西安-新城区, 大专及以上, 3年工作经验, 工作职责： 1.负责系统后端JAVA程序的设计和开发； 2.辅助架构师进行系统需求分析和架构设计工作； 3.根据设计文档或需求说明完成代码编写、调试和维护工作； 4.分析并解决软件开发过程中的问题； 5.协助测试工程师制定测试计划，定位发现的问题； 6.进行定期的code review，保证代码质量的可持续提高。 职位要求： 1.计算机及相关专业本科及以上学历，曾任职互联网金融或消费金融公司； 2.具备大型交易系统和小贷系统开发经验者优先； 3.精通JAVA开发，3年以上Java开发经验，有B/S架构开发经验； 4.精通Spring，Hibernate，Dubbo等主流开源框架； 5.精通各种设计模式，具有面向对象的分析能力以及编码能力； 6.喜欢新技术的学习、调研和尝试，有解决技术难题的决心和能力，有创新能力； 7.有良好的沟通协调能力，有责任心。
上海汉得信息, Java开发, 10-18万, 西安, 本科及以上, 1年工作经验, 职位描述： 1. 本科及以上学历计算机相关专业，要求至少有2年以上工作经验，薪水依能力而定； 2. 精通Java及相关技术体系结构，熟悉J2EE框架，精通Spring、Springmvc、mybatis等主流开发技术，熟悉设计模式； 3. 熟练掌握maven、Gradle、Git等管理工具； 4. 精通大型系统开发测试，熟悉多进程、多线程编程； 5. 有过Liferay开发经验者优先； 6. 对软件开发有浓厚兴趣，熟悉软件工程相关知识，熟悉软件工程的各个阶段； 7. 善于沟通、勤奋好学，有高度的责任心和团队合作精神； 岗位职责： 1. 基于Liferay等开源产品研发交付工作 ； 2. 基于J2EE框架的项目研发交付工作； 3. 基于Java语言相关项目交付运维工作； 4. 负责项目系统的配置和性能优化工作； 5. 快速、准确理解功能设计文档，根据需求编写技术概要、详细设计； 6. 协助功能顾问进行模块测试并分析解决问题；
