NAME, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
陕西维纳传媒股份有限公司, Web前端工程师, 12-18万, 西安-高新区, 统招本科, 3年工作经验, 岗位职责： 1、负责公司各产品Web前端研发； 2、负责公司各产品易用性改进、界面技术优化和网站性能优化； 3、Web前沿技术研究和新技术调研。 任职要求： 1、本科及以上学历，计算机、通信及相关专业；具有Mobile WEB/WAP、HTML5/CSS3 等开发经验者优先； 2、熟悉Linux平台，掌握PHP、Ruby、Java、Python、C/C++中至少一种后端开发语言，精通JavaScript、Ajax等Web开发技术； 3、精通HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局； 4、熟悉W3C标准，对表现与数据分离、Web语义化等有较为深刻的理解； 5、熟悉用户交互设计理论，热衷分析并改善产品的用户体验。
上海汉得信息, 产品技术研发总监, 19-25万, 西安, 本科及以上, 3年工作经验, 职位要求 ： 1.资历：计算机相关专业本科或以上，28-40岁； 2.经验： 6年以上大型软件开发经验，3年以上开发大咖担当；2年以上技术管理经验； 具备大型网站或企业管理系统软件开发项目全过程管理经验； 具有深厚的技术背景，参加过多个中大型项目实际操作经验； 有高性能服务，海量数据存取系统开发经验； 有面向产品、市场、销售配合经验； 熟悉产品开发和上线流程，注重开发各环节的作用和相互协作； 带过10人以上软件研发团队，熟悉敏捷开发、持续集成流程及相关工具； 3.技能： a) 精通大型网站系统的架构设计、系统分析、软件实现、性能优化、系统安全等； b) 熟悉ERP、HIS、MES、PLS、DRP、CRM等至少一种大型管理软件系统的业务逻辑； c) 精通python、.java等开发语言，精通对象化编程技术； d) 精通主流数据库开发技术（PostgreSQL\Sql server\Oracle等），具备不同架构下的数据库选型能力； e) 熟悉Internet基本协议（TCP/IP，Http/Https等）有高性能、多线程大型并发系统的设计、研发及优化经验； f) 具备互联网Web Server、Java、智能终端软件产品开发相关知识； g) 对IoT、智能家居技术有一定了解，熟悉相关协议； 4.能力： 有良好的沟通能力和团队协作精神，能很快组建并快速发展一支优秀的技术团队； 具备高昂的创业激情和自我激励能力，适应较高压力和挑战的工作环境； 5.心态：强烈进取的事业心、责任心； 6.熟悉ODOO开发优先； 岗位职责： 1、 负责医疗行业大型软件的架构设计，如：ERP、HIS、CRM等； 2、 负责产品基础架构设计、部署、监控、优化升级等工作； 3、 负责制定研发流程以及各类型开发规范。 4、 负责各项目研发过程的技术评审、质量评估及研发进度的控制； 5、 负责管理制定产品的研发方向与内容，负责产品相关技术决策及技术方案； 6、 负责产品研发关键技术的攻关、新技术的研究与引进；
北京航天宏图信息技术股份有限公司, 大数据研发工程师, 10-19万, 西安-长安区, 大专及以上, 1年工作经验, 岗位职责： 1、负责分布式数据管理软件的研发、测试与部署 2、负责大数据分析支撑技术的研发、测试与部署 任职要求： 1、2年以上大数据业务从业经验，有大型大数据项目实施经验与案例优先； 2、精通Hadoop、Hive、Spark、MapReduce、Storm等大数据技术，有实际工程研发经验； 3、有丰富的数据库设计与研发经验，精通Oracle、MySQL、MonogoDB等一种或多种； 4、精通Java/Python/Go/R/C++的两种及以上编程语言； 5、精通Linux操作系统，精通TCP/IP协议、脚本编程； 6、有扎实的技术功底，有较长期的一线实施经验； 7、有一定的文档编写能力，擅长与用户沟通。
神州绿盟信息, 大数据研发工程师, 12-18万, 西安-雁塔区, 统招本科, 3年工作经验, 主要职责： 1、编写网络爬虫自动采集网络安全相关数据 2、大数据平台的开发、优化和维护工作 3、基于安全大数据进行的数据分析工作  任职要求： 1、本科以上学历，优秀学校毕业背景优先，有安全行业从业经验者优先。 2、熟悉linux上C/C++开发，有相关的项目经验 4、新技术学习能力强，有良好的分析和解决问题的能力， 5、积极向上，良好的团队沟通合作精神  具有以下条件优先考虑： 1、有网络爬虫相关开发经验 2、有python开发经验，熟悉hadoop、spark等开源大数据技术
思特沃克软件技术有限公司, Mobile开发工程师（iOS、Android）, 14-28万, 西安-高新区, 学历不限, 3年工作经验, 职责描述：  你是否常常纠结于兴趣与职业发展如何取舍？或者根本不清楚应该怎么发展属于你的职业生涯？ 你是否喜欢编程但又不敢确定编程这条路究竟能走多远？  如果你也同样的热爱代码如生命，喜欢有事没事就记录和分享自己的思考与实践，希望远离办公室政治，追求公平合理，追求成为一名优秀的程序猿，攻城狮。那无容置疑ThoughtWorks绝对适合你！ 作为一家企业，ThoughtWorks不仅关注盈利，更不断追求世界领先的软件技术，并且凭借我们的技术与热情为世界的公平与正义做出贡献。  加入ThoughtWorks. 你将和一群Geeks(极客)在编码中一较高下！ 加入 ThoughtWorks.你将和世界顶尖的咨询师一起，享受在帮助客户解决棘手问题之后的快感！ 加入ThoughtWorks. 你将在不同国家、不同项目、不同技术中快速成长！ 加入ThoughtWorks. 你将与中国最优秀的技术社区领导者并肩作战！ 加入ThoughtWorks. 你将有机会用自己的智慧和专业的技术能力帮助弱者！  不足的技术经验、不流利的英语，都不是阻止你成为ThoughtWorker与成长的关键。你积极上进的学习态度与能力将是你不断进取、融入ThoughtWorks的最好动力！ ThoughtWorks，一个牛人辈出、业界领先、关注社会平等的IT咨询公司，真诚邀请你的加入！   Mobile Application Developer(IOS/Android)  ThoughtWorks isn’t your average company. so we don’t hire average people.  From a technology perspective. ThoughtWorks is synonymous with innovation. We’ve been at the forefront of innovation on the Java platform. and have pioneered the use of techniques such as Inversion of Control and Domain Specific Languages. We’ve made significant contributions to the Java Open Source community via projects such as CruiseControl. XStream and Selenium.  ThoughtWorks is also a Microsoft Gold Certified Partner and our people provide thought leadership to key Microsoft initiatives such as the Patterns and Practices effort. Most recently we’re becoming famous for the work we’re doing with alternative .net languages like IronRuby. Iron Python. F# and Ioke. We champion Ruby on Rails and ThoughtWorks is already the natural home for some of the world’s leading Ruby developers.  By joining ThoughtWorks. you become part of a community. ThoughtWorkers are a passionate. diverse bunch. Typical ThoughtWorker traits include enjoying arguing about tiny details of language implementation; complaining about Maven and discussing how close to 1K they are. People join because they get to talk to the people who wrote the books that influenced them (and often get invited to help review or contribute to the author’s next one) and work with the people who wrote the tools they couldn’t get their previous company to use.  Add to this our focus on Agile delivery and you’ll start to see why working here is refreshingly different.  We hire only the most talented. passionate people. We're seeking a creative approach to problem-solving and a track record of technical innovation. We work almost exclusively on customer site providing a mix of delivery and consulting services. so you’ll be flexible about travel. and willing to travel extensively as part of your role. You want to go the extra mile. and relish the idea of being part of a community that extends beyond the work we do for our customers.   To be considered. you'll have experience of the following:  Experience in mobile software development. skill in Objective-C / Java / C# Have worked on the analysis. design. coding and implementation of large scale. custom built object-oriented applications Great OO skills. including strong design patterns knowledge Experience working with. or an interest in Agile Methodologies. such as Extreme Programming (XP) and Scrum Knowledge of software best practices. like test driven development and continuous integration Experience of working in a forward thinking. OSS-centric environment  Interested?  If you are interested in taking on an opportunity that offers variety. innovation. and unique challenge every day. then we should talk. 任职要求：
陕西维纳传媒股份有限公司, 高级PHP工程师, 14-22万, 西安-高新区, 统招本科, 5年工作经验, 岗位职责： 1、参与公司新产品开发； 2、能根据业务需求完成设计、开发、文档编写； 3、对现有产品的易用性改进和性能优化； 4、保证代码的高可靠性和高性能。  任职要求： 1、计算机及电子信息工程相关专业本科及以上学历； 2、热爱开发，乐于接受挑战，1年以上服务端开发经验； 3、熟练掌握Java、php、nodejs、python 等任意一种开发语言； 4、熟悉JavaScript、有HTML5开发经验，使用过任何一种前端框架； 5、熟悉MySql.sqlServer等常用数据库，会sql语句性能优化； 6、熟练掌握数据结构和算法，良好的数学、物理、计算机及操作系统知识； 7、优秀的优化、调试能力和分析、解决问题能力，逻辑思维清晰严谨； 8、有良好的团队精神、敬业精神和沟通协调能力，善于学习，能主动学习钻研与工作相关的知识和技术且有一定的抗压能力。
上海汉得信息, DBA, 7-12万, 西安, 大专及以上, 1年工作经验, 职位要求 ： 1、 本科及以上学历计算机相关专业，要求2年或以上工作经验，薪水依能力而定； 2、 熟悉Oracle/MySQL/PostgreSQL/SQL Server的运行机制、体系架构、优化策略； 3、 熟悉 Linux 基本管理，熟练使用 Shell 、 Perl 、 Python 中的一门脚本语； 4、 对高并发、复杂 SQL 以及数据库集群系统有深入理解，并具有丰富的管理和优化经验，具有很强的故障定位和问题解决能力 ； 5、 良好的学习能力和对新技术的追求精神，良好的团队协作能力，积极主动，乐于接受挑战； 6、 熟悉PostgreSQL及具有相关维护优化工作经验者优先考虑； 岗位职责： 1、 配合产品、开发团队进行数据库设计和调优，对数据库整体架构提出建议； 2、 对开发人员访问数据库的SQL语句进行评审和调优； 3、 维护数据库稳定运行，持续发现和解决潜在的问题； 4、 负责数据库性能优化，使用新技术和新架构满足日益增长的业务需求；
神州绿盟信息, 工控安全研究员（西安）, 面议, 西安, 本科及以上, 3年工作经验, 职位工作内容简要综述： 1、研究工业控制系统安全相关课题； 2、承担工控安全产品技术支撑； 3、承担工控安全新产品技术预研。  岗位职责： 1、跟踪国内外工控系统安全事件； 2、研究前沿工控系统安全技术，分享研究成果； 3、通过逆向分析工控系统安全问题； 4、分析常见的工控通讯协议； 5、参与工控类新产品的预研，以及开发过程中的技术支撑。  任职要求： 1、工控软件开发与调试； 2、工控协议分析； 3、汇编语言，优先考虑工控系统汇编语言； 4、熟悉基础漏洞产生原因与利用原理； 5、linux系统的基础操作； 6、Python语言。
神州绿盟信息, 工控安全攻防研究员（西安）, 10-14万, 西安-高新区, 统招本科, 3年工作经验, 岗位职责： 1、工控系统漏洞挖掘； 2、工控系统安全渗透测试； 3、工控安全技术预研。  岗位要求： 1、熟悉渗透测试步骤、方法、流程、熟练使用一定量渗透测试工具； 2、熟悉TCP/IP协议、路由、交换技术、主机、数据库相关产品配置及操作； 3、熟悉Linux操作系统原理，熟练使用Linux基本命令； 4、熟练掌握 C/PHP/Java/Python至少两种编程语言。  优先条件： 1、有CTF大赛经验者优先； 2、有工控现场经验值优先。
神州绿盟信息, 资深软件研发工程师（西安）, 10-18万, 西安, 本科及以上, 3年工作经验, 主要职责： 1、网络安全相关产品的研发； 2、负责产品模块(后端)设计和开发工； 3、负责安全产品性能调优和维护；  任职要求： 1、教育程度：大学本科及以上学历. 不限专业； 2、比较强的C/C++/python编程/数据结构/软件工程基础，理解OO思想（面向对象、设计模式、STL使用等技术）； 3、至少3年Linux/Unix开发经验，有实际的开发实践经验，熟悉Linux/Unix Posix编程环境和调试环境，有网络设备或网络应用的开发及维护经验； 4、对网络协议有一定的理解，熟悉Unix下的网络编程，深入理解TCP/IP及主要应用层协议； 5、对系统扫描、web扫描技术、云计算或是大数据开发技术熟悉者优先，或有其他安全产品开发经验者优先； 6、具备团队合作精神，积极的工作态度和较强的责任心，良好的沟通和学习能力，有研发团队管理经验优先；
