NAME, JOB, SALARY, LOCALTION, EDUCATION, EXP, DISCRIPTION
西安西拓电气股份有限公司, C/C++高级开发工程师, 10-24万, 西安, 统招本科, 5年工作经验, 岗位职责： 1、能够根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务； 2、负责程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 3、维护软件使之保持可用性和稳定性。 任职要求： 1、计算机、网络、通信及电气自动化相关专业本科以上学历，参与过大型SCADA系统软件框架设计，5年以上相关工作经验； 2、熟练使用C、C++及MySQL、Oracle、MS SQL等任何一种数据库； 3、熟悉Modbus，CDT. IEC 60870-5-103，104、IEC61850 MMS等通信规约； 4、了解交换机、路由器、防火墙、VPN、负载均衡等基础网络产品及解决方案； 5、具有良好的编码习惯，具有敏捷开发或者迭代开发工作经验，能够按照软件管理规范进行开发和文档编写； 6、长期从事电力监控、工业自动化、工业通信等相关工作，了解变电站、配电网等，有电力行业通讯软件开发经验者优先。
莱尔夫电子, C#软件开发工程师, 7-12万, 西安, 大专及以上, 3年工作经验, 岗位职责： 1.根据产品和项目需求，以及架构和设计要求，完成相关编码工作； 2.负责解决线上产品运行中出现的技术问题； 3.参与需求分析，概要设计，详细设计等； 4.为前端技服人员提供技术支持，解决技术服务过程中遇到的相关问题； 任职要求： 1.本科及以上学历，计算机相关专业，3年以上.net开发经验； 2.精通C#编程语言.精通.net平台开发，具备良好的编程风格； 3.精通B/S、C/S结构编程，精通网络应用编程； 4.熟悉javascript、jquery、Ajax、JSON 、XML等web开发领域相关技术； 5.精通Wcf编程，熟悉WebService； 6.熟悉SQLServer、MySql数据库开发技术及相关工具，熟练掌握SQL；
交大捷普, Linux环境c语言开发工程师, 10-12万, 西安, 本科及以上, 1年工作经验, 岗位职责： 1、参与产品的总体设计（基于LINUX操作系统）； 2. 完成相关功能模块的开发； 3. 负责相关代码编写，bug的修改，文档的维护等； 4. 熟悉不同平台下Linux的系统构建，运行环境搭建，以及运行环境优化。 任职资格： 1、计算机或相关专业、本科以上学历，2年以上Linux环境下软件开发工作经验； 2、熟悉Linux操作、gcc编译器及gdb调试工具 ； 3、熟练掌握TCP/IP协议及网络基础知识；能够使用c或c++语言独立完成模块设计、编码及测试。 4、具备较强的逻辑分析和独立解决问题能力； 5、较强的沟通能力和钻研精神，抗压能力强。
交大捷普, C/C++高级开发工程师, 12-18万, 西安, 本科及以上, 1年工作经验, 岗位职责： 1、参与产品的需求调研及产品设计讨论与分析，并负责相关技术文档的编写； 2、搭建系统开发环境，完成系统框架和核心代码编写； 3、指导软件工程师的日常开发工作，解决开发中的技术难题； 4、协助产品开发经理完成产品的测试、系统交付工作。 任职资格： 1、计算机相关专业，本科以上学历，3年以上软件产品开发经验； 2、熟悉Windows、Linux底层知识或网络编程知识，熟练掌握多线程/进程技术，熟练使用C/C++编程语言。 3、精通面向对象设计或设计模式，熟悉大型数据库开发； 4、熟悉网络安全产品，如防火墙、信息审计、VPN、入侵检测、主机审计等； 5、有良好的沟通及团队协作能力，敢于接受压力和挑战； 6、有主导产品开发成功经验者优先考虑。
西安西拓电气股份有限公司, C#/.NET中级开发工程师, 7-14万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1、具有较好的业务理解能力，并充分利用丰富的开发技术解决业务问题； 2、负责功能分析、详细设计、编码工作； 3、确保所负责的模块质量及进度； 4、具备良好的沟通能力，向项目负责人汇报工作进度。 任职要求： 1、计算机、工业设计及电气自动化相关专业本科以上学历，Windows平台开发从业经验2年以上，5年以上相关工作经验； 2、熟练使用C#、.NET框架，了解设计模式、IOC等技术，熟练使用Microsoft SQL Server等数据库，有WPF 、XAML、Azure、Docker开发经验者优先； 5、对软件工程周期模型有较深刻理解，有敏捷开发或者迭代开发工作经验尤佳； 6、具有良好的编码习惯，能够按照软件管理规范进行开发和文档编写； 7、良好的沟通能力与团队协作能力，良好的职业道德及敬业精神； 8、快速、良好的学习能力，能迅速学习各种新技术，并且在项目中运用。
TMS云, C#软件工程师（SaaS）, 6-11万, 西安-高新区, 本科及以上, 2年工作经验, 1. 熟悉.net平台的应用开发，特别是B/S架构系统开发 2. 熟练使用ASP.NET开发Web应用程序，熟悉HTML、Javascrpt、CSS 3. 1年以上C#/ASP.NET编程经验 4. 熟练掌握数据库编程，MYSQL或者Oracle 5. 有较强的团队合作意识和敬业精神 6. 熟悉WCF/WPF/WF/AJAX等技术优先考虑
大华技术, C/C++开发工程师, 12-18万, 西安, 本科及以上, 3年工作经验, 职责描述： 1、负责QT平台上桌面应用产品的研发； 2、根据产品的需求开发桌面应用软件产品； 3、负责系统结构设计，编写设计方案等相关文档； 4、对现有项目的维护；  任职要求： 1、本科及以上，编程基础扎实，具备良好的工程素养，精通C++语言和QT； 2、至少三年以上的QT应用开发经验； 3、熟悉mysql等数据库编程； 4、熟悉掌握tcp/ip协议相关知识，精通SOCKET编程、网络开发； 5、熟悉linux系统，有gcc.make等使用经验者优行； 6、有大型软件系统开发经验优先； 熟练Linux操作系统原理，精通Linux内核开发； 7、热爱软件开发，具有创新思维，了解新技术发展趋势； 8、有安防类相关经验优先
科梁, 高级C/C++工程师, 面议, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 参与项目需求分析，进行系统框架和核心模块的详细设计； 2. 根据项目开发进度和任务分配，开发相应的软件模块； 3. 根据公司技术文档规范编写相应的技术文档； 4. 解决开发过程中遇到的各种技术问题。 任职要求： 1.计算机、数学及相关专业本科以上学历；三年以上软件开发经验； 2.精通C++编程，能够熟练使用VC++开发工具，有良好的面向对象设计、分析能力； 3.熟悉Windows下TCP/UDP等相关网络通信协议的socket编程； 4.熟悉Windows多线程编程，掌握进程间的通讯方法； 5.熟悉Windows API.熟悉常用数据结构和算法； 6.熟悉软件开发流程、设计模式、体系结构； 7.独立解决技术问题，有较强的创新意识； 8.有良好的英语读写水平； 9.为人正直诚信、责任心强、工作认真负责，具有良好的团队精神与沟通协调能力。
恒谦教育网, .net（C#）开发, 6-12万, 西安, 大专及以上, 1年工作经验, 1、1年以上.net(C#)相关开发经验； 2、B/S开发经验，有WPF或Silverlight开发经验1年以上均可。 3、熟悉DIV+CSS、AJAX、JavaScript、JQuery等WEB开发技术； 4、熟练使用一种数据库（SqlServer或Oracle）
西安丝路软件有限责任公司, C++软件工程师, 10-24万, 西安-雁塔区, 大专及以上, 2年工作经验, 任职要求： 1、至少2年以上C++开发经验，其中Windows平台VC++2年经验。 2、熟悉VC++界面开发，熟练使用MFC、Windows SDK开发技术。 3、熟悉Windows消息机制、多线程、进程间通信、Socket等开发技术；具有良好的编程习惯。 4、熟悉Labview开发、有硬件基础者优先考虑。 5、性格开朗、善于沟通。
