name, job, salary, localtion, education, exp, discription
西安丝路软件有限责任公司, C#软件工程师, 11-24万, 西安-雁塔区, 大专及以上, 3年工作经验, 1.全日制统招大专或以上，计算机相关专业；从事过WINFROM控件研发两年以上经验者优先； 2.精通MicrosoftC#、 .NET，熟悉C/S结构、具有良好、规范的编程习惯和文档编写习惯；； 3.精通Sql Server数据库开发，熟练使用存储过程、事务、索引、全文检索、视图、查询优化等技术； 4.精通ADO、ADO.NET数据处理方式 5.正直诚实、工作认真细致、反应迅速、有责任感，能够承担较大的工作压力； 6.思维清晰敏捷，逻辑能力强，良好的口头和书面表达能力，善于与人沟通； 7.责任心强，踏实肯干，能承受工作压力，具有良好的沟通能力及团队合作精神。
汇纳科技, C++开发工程师-368, 7-10万, 西安, 学历不限, 2年工作经验, 岗位要求： 1、计算机等相关专业，本科学历1年以上C++软件开发工作经验，专科有良好编程开发经验者亦可 2、熟练C/C++，有良好的编程习惯； 3、熟练掌握Windows环境下多线程、socket网络编程； 4、熟悉sql数据库； 5、有良好的理解沟通能力、有团队协作精神。  岗位职责： 1、项目维护； 2、新功能开发； 3、相关文档撰写。
科梁, 高级C/C++工程师, 面议, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 参与项目需求分析，进行系统框架和核心模块的详细设计； 2. 根据项目开发进度和任务分配，开发相应的软件模块； 3. 根据公司技术文档规范编写相应的技术文档； 4. 解决开发过程中遇到的各种技术问题。 任职要求： 1.计算机、数学及相关专业本科以上学历；三年以上软件开发经验； 2.精通C++编程，能够熟练使用VC++开发工具，有良好的面向对象设计、分析能力； 3.熟悉Windows下TCP/UDP等相关网络通信协议的socket编程； 4.熟悉Windows多线程编程，掌握进程间的通讯方法； 5.熟悉Windows API.熟悉常用数据结构和算法； 6.熟悉软件开发流程、设计模式、体系结构； 7.独立解决技术问题，有较强的创新意识； 8.有良好的英语读写水平； 9.为人正直诚信、责任心强、工作认真负责，具有良好的团队精神与沟通协调能力。
杉石科技, C#开发工程师, 面议, 西安-雁塔区, 统招本科, 2年工作经验, 职责描述： 1.负责产品功能模块的代码开发工作； 2.配合测试人员完成代码测试工作。  任职要求： 1.有意愿加入创业团队； 2.本科及以上学历，计算机、软件工程相关专业； 3.熟悉SQL Server、Oracle或MySQL等一种数据库语言； 4.熟悉面向对象分析、设计、编程等思想和方法，有算法或者GDI+经验者优先； 5.了解C#，winform编程，能运用DEV控件者优先； 6.具有良好的逻辑思维和沟通能力，有责任心，积极进取。
一诺仪器(中国)有限公司, 软件开发工程c++/qt, 面议, 西安-高新区, 统招本科, 3年工作经验, 职责描述： 1.参与全新产品开发，完成系统子模块详细设计，编码实现，设计单元测试进行验证； 2.QT应用程序开发，包括自定义窗体以及自定义控件的实现； 3.有关技术方案、产品文档的撰写。 任职要求： 1.精通C++，二年以上使用C++语言进行项目开发的经验； 2.熟练掌握QT/QML/VC++/WPF任意一项，具备完整的企业项目开发经验； 3.良好的代码风格，熟悉设计模式，熟悉SVN等版本管理工具，能够读懂UML； 4.对电力系统有基本了解，熟悉基础电学常识，有相关领域开发经验者优先； 5.团队合作精神，精益求精的意识，追求卓越的品质。 6.985/211院校本科以上学历，专业不限，一经录用待遇从优。
诚毅软件, c开发工程师, 10-17万, 西安-雁塔区, 统招本科, 2年工作经验, 岗位职责： 1、负责陕西BOSS系统后台人员管理工作； 2、负责BOSS项目的后台开发工作； 3、寻找发现并修复BOSS项目所发现的缺陷。  任职要求： 1、本科以上学历，计算机相关专业，2年以上工作经验； 2、精通C/C++、Pro*C； 3、有UNIX或Linux操作系统使用经验，熟练使用基本命令； 4、有Oracle数据库维护经验，熟练使用基本SQL语句； 5、熟悉socket、webservice、http等网络通讯协议的使用； 6、有Linux操作系统SHELL编程经验优先； 7、有移动、电信、广电等计费账务开发维护经验者优先。
深圳市易特科信息技术有限公司, C#高级软件工程师, 12-18万, 西安, 统招本科, 5年工作经验, 岗位职责： 应用C#进行医院信息系统、电子病历、临床数据中心(CDR)等医疗软件开发； 任职条件 1、熟悉.NET Framework.有良好的基础； 2、具有五年以上C#(WinForm方向)开发经验，能独立开发C#系统； 3、熟练SQL Server2005/2008开发； 4、熟悉主流的设计模式、框架、思路，对DDD、Linq、MDA等理解 5、逻辑思维清晰，良好的系统设计、分析和解决问题的技巧； 6、能承受工作压力，并能独立完成项目； 7、良好文档习惯，有协同开发意识； 8、从事过医疗软件软件开发从业经验者优先。
国基科技, C++中级开发工程师, 7-10万, 西安-高新区, 本科及以上, 2年工作经验, 岗位职责： 1. 独立负责系统中等规模的功能，包括：模块的详细设计、实现及单元测试； 2. 负责功能模块出现的所有问题的解决； 3. 负责功能模块的性能优化和改进； 4. 负责系统可重用性模块的提取、实现； 5. 完成事业部上级领导交办的其他工作任务。 任职要求： 1、计算机相关专业本科或硕士学历毕业。 2、具备MFC开发经验或linux C++开发经验，1年及以上相关工作经历： 1）熟练使用VS.C++或者KDE、Eclipse.c++ 开发工具； 2）对某技术领域有一定的经验优先录用，例如：GIS、视频、数据库、统计分析、网络协议编程等； 3）熟悉MFC多线程技术、linux多线程、SOCKET编程、STL模板类及串口开发等经验优先 3. 具备良好的面向对象开发思想，有实际项目使用。 4. 具备需求、设计文档的编写能力和软件开发的基础框架设计能力以及相关经验。 5. 自学能力强，能够适应出差。
汇纳科技, C++开发工程师, 7-9万, 西安-高新区, 大专及以上, 1年工作经验, 岗位要求： 1、计算机等相关专业，本科学历1年以上C++软件开发工作经验，专科有良好编程开发经验者亦可 2、熟练C/C++，有良好的编程习惯； 3、熟练掌握Windows环境下多线程、socket网络编程； 4、熟悉sql数据库； 5、有良好的理解沟通能力、有团队协作精神。  岗位职责： 1、项目维护； 2、新功能开发； 3、相关文档撰写。
明朝万达, C++工程师, 10-23万, 西安-雁塔区, 统招本科, 3年工作经验, 工作职责： 1、根据产品任务完成产品模块的方案设计和程序设计； 2、完成windows平台下的代码实现，系统开发和调试优化工作。  任职资格： 1、大学本科及以上学历，三年以上C/C++语言工作经验，具备较好的英文阅读水平和学习能力； 2、熟悉常用的IDE编程环境，掌握Visual Studio平台开发优先； 3、扎实的C/C++、数据结构基础，掌握STL，熟悉C++11新标准特性； 4、具备第三方库的使用经验，熟悉Boost库优先； 5、熟悉设计模式，遵循良好的代码编写风格，注重代码封装； 6、具备良好的沟通交流和团队合作能力。
明朝万达, Java/C++架构师, 面议, 西安-雁塔区, 统招本科, 8年工作经验, 工作职责： 1、参与公司大型项目的规划以及产品发展制定和推进； 2、数据安全产品线系统技术架构，参与需求分析、架构设计、技术决策等； 3、优化现有架构，设计新架构，优化现有系统的性能，解决系统中的关键问题和技术难题； 4、指导技术团队学习、交流，提升研发工程师团队的技术分析与设计能力； 5、研究业界的技术发展、评估外部技术的可行性与解决方案；  任职资格： 1、计算机、电子、信息等相关专业211/985高校统招本科8年以上，或研究生6年以上C++或Java研发经验； 2、具备至少一个大型软件架构经验； 3、熟悉Windows和Linux的常规应用系统构建和部署； 4、主持过100万级用户（并发1万以上）的系统设计与开发； 5、熟练使用MySQL或Oracle数据库与优化技术，精通数据库设计原理； 6、具备良好的沟通交流和团队合作能力。
西安甄一创展网络科技有限公司, 系统框架高级开发（c＋＋）, 20-33万, 西安-高新区, 统招本科, 5年工作经验, 工作职责： 1.     系统级别需求分析，系统框架、子系统和核心模块的设计、开发。 2.     提升系统性能、稳定性和安全性。 3.     系统软件定制、裁剪、移植。 岗位要求： 1.      计算机软件及相关专业，大学本科及以上学历，较好的英语听说读写能力。 2.      五年以上相关工作经验。 2.     熟悉C、C++、JavaScript等开发技术。 3.     熟悉Linux系统开发工作。 5.     具有良好的学习能力，强烈的工作责任心、良好的沟通能力和团队合作精神。 6.     有Android Framework开发经验者优先。
珠海网博信息科技股份有限公司, C++高级软件工程师, 10-16万, 西安-雁塔区, 大专及以上, 3年工作经验, 1.计算机相关专业大专以上学历； 2.精通C / C++编程，有三年以上的开发产品经验，有网络编程经验； 3.具备丰富的面向对象设计能力，能够独立承担项目中模块级研发工作； 4.能够理解客户需求，有较强的团队合作和分析解决问题的能力，能迎接工作的挑战，有强烈的事业心和上进心； 5.有网络产品开发经验，了解网络知识、信息安全产品者优先考虑。
西安西拓电气股份有限公司, C/C++高级开发工程师, 10-24万, 西安, 统招本科, 5年工作经验, 岗位职责： 1、能够根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务； 2、负责程序单元、功能的测试，查出软件存在的缺陷并保证其质量； 3、维护软件使之保持可用性和稳定性。 任职要求： 1、计算机、网络、通信及电气自动化相关专业本科以上学历，参与过大型SCADA系统软件框架设计，5年以上相关工作经验； 2、熟练使用C、C++及MySQL、Oracle、MS SQL等任何一种数据库； 3、熟悉Modbus，CDT. IEC 60870-5-103，104、IEC61850 MMS等通信规约； 4、了解交换机、路由器、防火墙、VPN、负载均衡等基础网络产品及解决方案； 5、具有良好的编码习惯，具有敏捷开发或者迭代开发工作经验，能够按照软件管理规范进行开发和文档编写； 6、长期从事电力监控、工业自动化、工业通信等相关工作，了解变电站、配电网等，有电力行业通讯软件开发经验者优先。
莱尔夫电子, C#软件开发工程师, 7-12万, 西安, 大专及以上, 3年工作经验, 岗位职责： 1.根据产品和项目需求，以及架构和设计要求，完成相关编码工作； 2.负责解决线上产品运行中出现的技术问题； 3.参与需求分析，概要设计，详细设计等； 4.为前端技服人员提供技术支持，解决技术服务过程中遇到的相关问题； 任职要求： 1.本科及以上学历，计算机相关专业，3年以上.net开发经验； 2.精通C#编程语言.精通.net平台开发，具备良好的编程风格； 3.精通B/S、C/S结构编程，精通网络应用编程； 4.熟悉javascript、jquery、Ajax、JSON 、XML等web开发领域相关技术； 5.精通Wcf编程，熟悉WebService； 6.熟悉SQLServer、MySql数据库开发技术及相关工具，熟练掌握SQL；
西安威盾电子技术应用有限公司, .NET(C#)高级开发工程师, 10-14万, 西安, 大专及以上, 3年工作经验, 工作职责： 1、负责软件产品模块与组件的设计以及核心代码的开发，并指导与监督软件工程师按计划完成任务； 2、负责软件产品架构的预研与持续改进，并对产品的研发进度与质量负责 ； 3、根据项目需求制定详细的开发计划 。  岗位要求： 1、扎实的数据结构及算法知识，熟练掌握面向对象的设计思想 ； 2、熟悉规范的软件开发流程，有良好的配置管理、版本管理、代码编写习惯 ； 3、熟悉.NET框架、三层架构、Asp.net MVC开发 ； 4、良好的编码风格、文档编写能力和口头表达能力 ； 5、善于与团队成员一起合作开发。
杰克缝纫机, 软件开发工程师（C++）, 12-18万, 西安-高新区, 本科及以上, 1年工作经验, 岗位职责： 1、负责公司产品或模块的研发和设计； 2、负责解决开发过程中的技术问题； 3、负责对系统测试的问题进行解决； 4、负责对软件更改说明、功能特性说明等开发文档编写工作。  任职要求： 1、计算机、电子、通信等相关专业本科以上学历，有两年以上C++软件开发经验者优先； 2、熟悉线程，Socket，串口及以太网通信； 3、熟悉数据结构，熟悉面向对象编程思想，具备一定的面向对象分析设计能力； 4、具备良好的文档撰写能力、编写习惯，良好的抽象思维和逻辑思维能力，独立分析问题解决问题的能力； 5、有责任感，较强的沟通协调能力，具有团队合作精神； 6、英语读写能力良好； 7、工作地点：西安。
摩石环球科技有限公司, c++开发工程师, 7-14万, 西安-高新区, 本科及以上, 3年工作经验, 岗位职责： 1. 根据需求设计和开发软件，确保开发质量，确保软件的可支持性，可维护性，可扩展性。 2. 参与整个系统的开发，以及后续系统的维护； 3. 参与内部和外部项目集成与开发； 4. 能够协助用户做好项目的测试与验收； 5. 能够为客户提供所需的系统维护和技术支持。 任职要求： 1. 计算机或IT等相关学科专业，3年以上C/C++开发经验，本科及以上学历； 2. 精通Visual C++和数据架构； 3. 了解非托管和托管代码操作流程； 4. 具有较强的系统分析和软件架构能力; 5. 具有MT4/MT5插件开发与维护经验者优先考虑； 6. 具有Window应用程序开发经验者优先； 7．能够独立完成岗位工作，具有良好的沟通协调能力; 8．能熟练阅读英文文档，并具备一定的英文文档写作能力。  我们的优势： 1. 双休：周一-周五上班，周六、周天休息； 2. 年底双薪+绩效奖金。
北京兰光创新科技有限公司, C#/.net软件开发工程师, 12-18万, 西安, 大专及以上, 3年工作经验, 岗位职责： 1、协助开发部经理开展项目的开发工作； 2、负责产品的设计、开发、测试和维护工作，并进行相关文档的编写。 职位要求 1、计算机相关专业，本科到研究生学历； 2、具有2年以上的开发经验，熟悉微软的C#或.net开发工具； 3、具备良好的团队协作、沟通能力和敬业精神； 4、有较强的系统分析能力、项目设计开发能力； 5、人品优秀，诚实、稳重，工作认真、负责，具有较强的责任心； 6、身体健康，能适应经常出差；
信而泰科技, 软件工程师 c++, 13-20万, 西安-高新区, 统招本科, 1年工作经验, 岗位职责：  1、与团队成员以及相关岗位合作. 根据市场需求. 完成产品开发设计文档. 并完成产品功能的开发和进行产品缺陷的修复； 2、负责公司测试产品的协议开发和维护，开发环境是Linux/C++； 3、应用C/C++语言和设计模式构建高性能、可扩展、稳健的产品。  任职要求：   重点院校本科以上学历，至少1年工作经验；  精通面向对象编程和C++语言开发;精通C语言开发；  熟悉Linux系统下的应用开发和开发环境的配置，熟悉gnu开发工具，了解Linux内核；  熟悉软件开发流程，了解相关的代码管理工具的使用，良好的编程规范和功底；  熟悉设计模式和UML；  精通TCP/IP协议栈；熟悉应用层、路由、接入、交换协议的其中任何一个；  良好的问题解决能力；良好的自我管理和时间管理能力；  具备独立工作的能力；有较强的团队合作精神和敬业精神，，具有很强的责任心和上进心；  良好的英文读写能力，能熟练阅读英文技术文档和专业文献。    符合下列任一条件者优先考虑:  有路由器、交换机、防火墙、UTM开发经验；  有网络协议开发经验；  TCL脚本语言开发经验；  MFC界面的开发经验；  熟悉2544、2889、3918、Y.1564等测试标准。
