name, job, salary, localtion, education, exp, discription
北京北信源软件股份有限公司西安分公司, 高级运维（DB）工程师, 面议, 西安, 大专及以上, 5年工作经验, 职位描述： 1.提供运维相关咨询，帮助客户解决疑难问题并提出改进建议； 2.对客户和内部交付团队提供运维相关技术支持和保障； 3.有敏锐的技术嗅觉，能非常熟练的掌握业界涌现的各种新技术和新工具； 4.工作责任心强、性格开朗、善于沟通、工作细心、做事有条理、善于在工作中学习与总结；  任职要求： 1.精通linux系统内核性能优化、操作系统的管理及一定的排错能力； 2.精通Shell、Python中的至少一种语言，负责产品的一键安装包制作； 3.熟练mysql数据库性能调优、错误排查、各种架构部署及备份恢复机制； 4.熟悉分布式系统下的tomcat、nginx、redis、fastdfs、ftp、mq等软件安装部署和调优； 5.有虚拟化、容器技术、产品部署方案等经验者优先； 6.具备较强的抗压能力，有良好的团队合作精神和沟通能力配合研发共同完成任务。
加速云, Java软件研发工程师2, 7-22万, 西安, 统招本科, 2年工作经验, 职责描述： 1、在主管指导下按照设计文档进行软件设计及编码； 2、熟悉软件开发流程，能够理解需求设计文档； 3、基于需求完成软件模块设计及编码，能够解决开发中的一般问题； 4、负责相关开发模块的测试，对unit测试有一定的了解。 任职要求： 1、本科及以上学历，计算机相关专业，2-3年Java Web项目开发经验； 2、熟悉Java编程语言；理解J2EE、Servlet、JSP、Javabean；熟练掌握Jquery框架； 3、熟悉MVC框架（Spring MVC/Struts）；熟悉ORM框架（Hibernate/Mybatis）； 4、熟悉Spring，理解IOC和AOP； 5、熟悉JavaScript、HTML、CSS、XML、ExtJS、JSON、AJAX等前端技术； 6、了解关系数据库原理，至少掌握Oracle、SQLSever、MySQL等数据库中的一种； 7、了解自动化测试，熟悉JUnit，能够开发UT、ST测试用例； 8、熟悉Linux/Unix操作系统；熟悉Python脚本优先； 9、具备良好的沟通和团队协作能力； 10、具有较强的学习能力和逻辑思维能力； 11、工作积极主动，具有高度的责任心。
华为, 深度学习平台开发工程师, 面议, 西安-雁塔区, 统招本科, 3年工作经验, 职责描述： 负责深度学习平台的开发及优化  任职要求： 1、全日制机器学习、数学专业 2、熟悉三大主流(TF、Caffe、MxNet)深度学习框架，并有项目开发经验； 3、熟悉Python、Java编程语言
西安蜂语信息科技有限公司, 自动化测试工程师, 8-11万, 西安, 本科及以上, 2年工作经验, 岗位职责： 1、参与需求和方案评审，负责根据需求描述进行需求分析、测试用例设计和编写； 2、负责Android、IOS系统移动端应用软件测试，测试报告输出； 3、根据产品功能特性，对产品特性建模，建设自动化防护体系。 4、根据项目特点，开发合适测试工具或自动化解决方案，提高测试效率。 5、实时跟踪产品缺陷，软件缺陷的管理、跟踪及评审。  任职要求： 1、计算机、通信、自动化等相关专业本科以上学历； 2、至少2年以上移动端应用软件自动化测试经验，对智能手机系统有较深的理解； 3、熟悉基于C/C++语言、Java等主流开发语言，具备代码走读能力； 4、熟练掌握至少一门脚本语言（python/ruby等），能完成自动化测试脚本、测试工具开发者优先； 5、熟悉黑盒、白盒测试理论； 6、精通测试流程和测试测试用例设计方法，具有解决复杂问题和编写自动测试工具的能力； 7、至少精通一种缺陷管理工具。
西安泽塔信息技术有限公司, 销售工程师, 10-14万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 负责西北区域客户的开发、拓展及维护及管理； 2. 及时反馈市场和客户动态及购买需求，制定相应的销售计划和市场预测； 3. 根据公司的销售战略，制定详细销售目标，完成公司在目标市场的销售份额及资金回笼； 4. 督促执行合同内容，及时了解市场销售情况及客户回馈，对项目机会进行挖掘； 5. 按照既定的工作计划，对客户进行有效维护与对接； 6. 负责定期收集、整理、汇报客户资料和市场信息并进行分析与管理； 7. 负责制定确立合作伙伴、分销代理业务模式的渠道管理策略与实施方案； 任职要求： 1. 熟悉主流IT技术，包括存储、服务器、操作系统、网络、安全及相关解决方案； 2. 熟悉虚拟化及私有云平台产品及架构。 3. 熟悉openstack体系，云存储技术及分布式文件系统； 4. 熟悉X86的虚拟化技术、存储虚拟化技术、网络虚拟化技术； 5. 熟悉超融合架构及主流硬件产品； 6. 具有网络安全的相关知识和处理能力； 7. 掌握APACHE，NGINX等主流WEB server的安装和配置； 8. 具备shell或python脚本的编写和维护能力； 9. 熟悉MySQL、SQL server等主流数据库产品及架构
华为, 算法工程师, 24-60万, 西安-高新区, 统招本科, 2年工作经验, 职责描述： 1.AI人工智能平台通用通用算法包、图像视频算法包等算法开发 2.深度学习平台的开发及优化  任职要求： 1.熟悉数据挖掘相关算法(决策树、SVM、聚类、逻辑回归、贝叶斯等)，有扎实的基本功和良好的逻辑思维 能力 2.熟悉深度学习的基本原理DNN,CNN,RNN,能熟练使用一种以上深度学习keras,tensorflow,theano,caffe，mxnet等 3.熟悉Java或者Python语言,C++语言 4.理解数据仓库概念和技术，熟悉MySQL/Hive 5.有Hadoop/Spark/MPI相关经验者或者其他大规模数据处理经验者优先
西咸新区秦汉新城新丝路数字文化科技有限公司, C++开发工程师, 12-22万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1. 负责客户端软件的产品开发和维护及代码重构； 2. 负责传输软件的开发、维护； 3. 对开发系统产生的需求和问题快速响应。  任职要求： 1. 精通C++编程技术，熟悉python，熟悉SQL Server、MySQL等数据库操作； 2. 精通tcp、udp编程，精通iocp、select、epoll等； 3. 熟悉windows/linux/Mac中的一种或多种，windows是必须项； 4. 熟悉文件或视频流传输优先； 5. 思路清晰，善于思考与沟通，良好的分析和独立解决问题的能力。
华为, 深度学习算法工程师, 面议, 西安-雁塔区, 统招本科, 3年工作经验, 职责描述： 负责AI平台图像算法包的设计与开发  任职要求： 1.熟悉深度学习的基本原理DNN,CNN,RNN,能熟练使用一种以上深度学习keras,tensorflow,theano,caffe，mxnet等 2.熟悉Java或者Python语言 3.有Hadoop/Spark相关项目开发经验者优先
瑞斯康达科技, 网络开发工程师, 10-12万, 西安, 统招本科, 1年工作经验, 职责描述： 1、负责转发网络架构建设、维护并持续优化 ； 2、负责服务器软件安装与配置； 3、配合软件工程师进行软件版本发布。  任职要求： 1、本科及以上学历，计算机及相关专业（统招本科）; 2、熟悉LINUX下python，node js脚本的编写 ; 3、熟练常用的数据库安装、配置、维护 如：mysql、mongoDB; 4、熟练操作SVN、Git ; 5、熟练使用VLAN技术; 6、深入理解网络底层通讯原理。
西咸新区秦汉新城新丝路数字文化科技有限公司, 三维开发工程师, 10-18万, 西安, 本科及以上, 3年工作经验, 岗位职责： 1、协助完成项目中涉及到的三维技术和制作问题。 2、负责项目开发及运维过程中其他相关工作。  职位要求： 1、本科以上学历, 3年以上相关经验； 2、熟练掌握3Ds MAX、Maya等软件，熟练使用3D脚本语言（MaxScript和MEL）； 3、有使用其他脚本语言和编程语言的经验（例如Perl, Python, DOS 批处理脚本，C/C++以及Maya API插件）； 4、掌握编程原理、技术、算法和数据结构； 5、有一定的沟通表达能力，具备学习掌握新知识的能力，良好的解决问题和逻辑思维能力； 6、对渲染农场有一定的了解，能够指导编写相应软件的渲染模板脚本。
